ppm, Temperature (C),pH,Electrical Conductivity
412,24.81,7,0.82
147,25.31,7,0.29
239,25.56,7,0.48
240,25.75,7,0.48
237,25.75,7,0.47
240,25.25,7,0.48
237,26,7,0.47
220,26,7,0.44
190,26.06,7,0.38
191,26.06,7,0.38
193,25.5,7,0.39
190,26,7,0.38
191,26,7,0.38
191,26.06,7,0.38
190,26.06,7,0.38
195,25.5,7,0.39
194,26.06,7,0.39
193,26.06,7,0.39
145,26.06,7,0.29
140,26.06,7,0.28
140,25.5,7,0.28
139,25.44,7,0.28
136,25.94,7,0.27
270,24.87,6.9,0.54
274,24.94,6.9,0.55
275,25,6.9,0.55
276,25.12,6.9,0.55
275,25.19,6.9,0.55
278,24.62,6.9,0.56
277,25.19,6.9,0.55
277,25.12,6.9,0.55
277,25.19,6.9,0.55
277,25.06,6.9,0.56
277,25.12,6.9,0.55
281,24.62,6.9,0.56
277,25.12,6.9,0.55
279,24.69,6.9,0.56
587,24.56,6.2,1.57
1007,24.31,6.2,2.02
995,25.19,6.2,1.99
959,25.37,6.2,2
998,25.44,6.2,2
1001,25.5,6.2,2
1002,25.62,6.2,2.01
996,25.75,6.2,1.99
1002,25.87,6.2,2
1004,25.75,6.2,2.01
1009,25.54,6.2,2.02
1007,25.81,6.2,2.02
1011,25.81,6.2,2.02
1009,25.94,6.2,2.02
1013,25.94,6.2,2.03
1013,25.54,6.2,2.03
1005,25.94,6.2,2.02
1014,25.87,6.2,2.03
1017,25.54,6.2,2.03
1018,25.87,6.2,2.04
1018,25.87,6.2,2.04
1033,25.31,6.2,2.07
1021,25.54,6.2,2.04
1018,25.87,6.2,2.04
1021,25.94,6.2,2.04
1022,25.87,6.2,2.05
1032,25.37,6.2,2.06
1033,25.31,6.2,2.07
1026,25.87,6.2,2.05
1022,25.87,6.2,2.05
1026,25.87,6.2,2.05
1026,25.87,6.2,2.05
1021,25.94,6.2,2.04
1029,25.94,6.2,2.06
1042,25.31,6.2,2.08
1042,25.31,6.2,2.08
1026,25.87,6.2,2.05
1026,25.87,6.2,2.05
1028,25.81,6.2,2.06
1032,25.81,6.2,2.06
881,24.87,6.5,1.76
881,25.5,6.5,1.16
885,25.69,6.5,1.77
892,25.44,6.5,1.79
884,26.06,6.5,1.77
889,26.06,6.5,1.78
896,25.42,6.5,1.79
905,25.56,6.5,1.81
894,26.19,6.5,1.79
894,26.19,6.5,1.79
897,26.25,6.5,1.79
898,26.19,6.5,1.8
906,25.69,6.5,1.81
898,26.19,6.5,1.8
911,25.62,6.5,1.82
906,25.69,6.5,1.81
906,25.69,6.5,1.81
897,26.25,6.5,1.79
900,26.25,6.5,1.8
905,26.19,6.5,1.81
910,25.69,6.5,1.82
905,26.18,6.5,1.81
906,26.12,6.5,1.82
902,26.12,6.5,1.81
905,26.18,6.5,1.81
902,26.12,6.5,1.81
902,26.12,6.5,1.81
904,26.25,6.5,1.81
902,26.12,6.5,1.81
504,25.25,6.8,1.01
504,25.06,6.8,1.01
504,25.06,6.8,1.01
504,25.06,6.8,1.01
504,25.06,6.8,1.01
508,25.56,6.8,1.02
503,25.12,6.8,1.01
502,25.19,6.8,1.01
502,25.19,6.8,1.01
503,25.12,6.8,1.01
501,25.12,6.8,1
501,25.12,6.8,1
502,25.06,6.8,1
500,25.19,6.8,1
501,25.12,6.8,1
500,25.19,6.8,1
499,25.12,6.8,1
707,24.69,6.6,1.41
711,24.62,6.6,1.42
710,24.69,6.6,1.42
706,25.19,6.6,1.41
711,24.81,6.6,1.42
707,25.31,6.6,1.41
707,25.31,6.6,1.41
704,25.5,6.6,1.41
713,24.87,6.6,1.43
705,25.44,6.6,1.41
705,25.44,6.6,1.41
716,24.81,6.6,1.43
716,24.81,6.6,1.43
716,24.81,6.6,1.43
717,24.75,6.6,1.44
709,25.37,6.6,1.42
708,25.44,6.6,1.42
708,25.44,6.6,1.42
712,25.37,6.6,1.42
717,24.75,6.6,1.44
712,25.37,6.6,1.42
709,25.37,6.6,1.42
715,24.87,6.6,1.43
718,24.69,6.6,1.44
710,25.31,6.6,1.42
831,24.62,6.5,1.66
867,25.06,6.5,1.74
863,25.12,6.5,1.73
869,24.75,6.5,1.74
868,24.81,6.5,1.74
867,24.87,6.5,1.74
854,25.44,6.5,1.71
854,25.44,6.5,1.71
858,25.44,6.5,1.72
853,25.5,6.5,1.71
858,25.44,6.5,1.72
853,25.5,6.5,1.71
863,24.94,6.5,1.73
867,24.87,6.5,1.74
858,25.44,6.5,1.72
856,25.56,6.5,1.71
857,25.5,6.5,1.71
863,24.94,6.5,1.73
854,25.44,6.5,1.71
853,25.5,6.5,1.71
860,24.87,6.5,1.72
854,25.44,6.5,1.71
851,25.44,6.5,1.7
850,25.5,6.5,1.7
854,25.44,6.5,1.71
860,24.87,6.5,1.72
851,25.44,6.5,1.7
853,25.31,6.5,1.71
854,25.44,6.5,1.71
1176,23.87,6,2.35
1064,24.62,6,2.13
1067,24.25,6,2.14
1057,24.94,6,2.12
1051,25.06,6,2.1
1054,25.12,6,2.11
1055,25.06,6,2.11
1055,25.06,6,2.11
1054,25.12,6,2.11
1047,25.25,6,2.09
1052,25.19,6,2.11
1052,25.19,6,2.11
1051,25.25,6,2.1
1052,25.19,6,2.11
1051,25.25,6,2.1
1050,25.31,6,2.1
1054,25.31,6,2.11
1054,25.31,6,2.11
1061,24.75,6,2.12
1050,25.31,6,2.1
1064,24.81,6,2.13
1053,25.37,6,2.11
1053,25.37,6,2.11
1053,25.37,6,2.11
1054,25.31,6,2.11
1064,24.81,6,2.13
1069,24.81,6,2.14
1054,25.31,6,2.11
1057,25.37,6,2.12
1057,25.37,6,2.12
1053,25.37,6,2.11
1315,25.06,5.8,2.63
1315,25.06,5.8,2.63
1307,25.62,5.8,2.62
1307,25.62,5.8,2.62
1307,25.62,5.8,2.62
1309,25.56,5.8,2.62
1307,25.62,5.8,2.62
1309,25.56,5.8,2.62
1307,25.62,5.8,2.62
1307,25.62,5.8,2.62
1313,25.62,5.8,2.63
1286,25.56,5.8,2.57
1283,25.69,5.8,2.57
1292,25.56,5.8,2.58
1307,24.94,5.8,2.62
1286,25.56,5.8,2.57
1307,24.94,5.8,2.62
1289,25.69,5.8,2.58
1299,25.06,5.8,2.6
1285,25.62,5.8,2.57
1288,25.5,5.8,2.58
1285,25.62,5.8,2.57
1288,25.5,5.8,2.58
1299,25.06,5.8,2.6
1300,25,5.8,2.6
1292,25.56,5.8,2.58
1289,25.44,5.8,2.58
1288,25.5,5.8,2.58
1289,25.44,5.8,2.58
1263,25.62,5.8,2.53
1277,25.5,5.8,2.55
1291,24.94,5.8,2.58
1277,25.5,5.8,2.55
1277,25.5,5.8,2.55
1278,25.44,5.8,2.56
1280,25.37,5.8,2.56
1278,25.44,5.8,2.56
1273,25.44,5.8,2.55
1273,25.44,5.8,2.55
1273,25.44,5.8,2.55
1272,25.5,5.8,2.54
1278,25.44,5.8,2.56
1287,24.87,5.8,2.57
1276,25.31,5.8,2.55
